enteredby,2023-2024,bill.no,org,support.lvl,sponsor
Clarke,2023-2024,AB-1657,Supportive Housing Alliance,3,0
Clarke,2023-2024,AB-1657,Tenderloin Neighborhood Development Corporation,3,0
Clarke,2023-2024,AB-1657,The Armony Companies,3,0
Clarke,2023-2024,AB-1657,The Greenlining Institute,3,0
Clarke,2023-2024,AB-1657,The Kelsey,3,0
Clarke,2023-2024,AB-1657,The Kennedy Commission,3,0
Clarke,2023-2024,AB-1657,The San Francisco Housing Accelerator Fund,3,0
Clarke,2023-2024,AB-1657,Turning Point Community Programs,3,0
Clarke,2023-2024,AB-1657,Valley Restart Shelter,3,0
Clarke,2023-2024,AB-1657,Ventura Social Services Task Force,3,0
Clarke,2023-2024,AB-1657,Wakeland Housing and Development Corporation,3,0
Clarke,2023-2024,AB-1657,Western Center on Law and Poverty,3,0
Clarke,2023-2024,AB-1657,Zen Development Consultants LLC,3,0
Clarke,2023-2024,AB-1886,Abundant Housing LA,3,0
Clarke,2023-2024,AB-1886,California Apartment Association,3,0
Clarke,2023-2024,AB-1886,California Building Industry Association,3,0
Clarke,2023-2024,AB-1886,California Building Industry Association ,3,1
Clarke,2023-2024,AB-1886,California Chamber of Commerce,3,0
Clarke,2023-2024,AB-1886,California Community Builders,3,0
Clarke,2023-2024,AB-1886,California Hispanic Chamber of Commerce,3,0
Clarke,2023-2024,AB-1886,California Housing Consortium,3,0
Clarke,2023-2024,AB-1886,California Housing Partnership ,3,0
Clarke,2023-2024,AB-1886,California Rural Legal Assistance Foundation,3,0
Clarke,2023-2024,AB-1886,California State Association of Counties,0,0
Clarke,2023-2024,AB-1886,California YIMBY,3,0
Clarke,2023-2024,AB-1886,Catalysts for Local Control,0,0
Clarke,2023-2024,AB-1886,Circulate San Diego,3,0
Clarke,2023-2024,AB-1886,Cities Association of Santa Clara County,0,0
Clarke,2023-2024,AB-1886,City of Belmont,0,0
Clarke,2023-2024,AB-1886,City of Beverly Hills,0,0
Clarke,2023-2024,AB-1886,City of Brentwood,0,0
Clarke,2023-2024,AB-1886,City of Carlsbad,0,0
Clarke,2023-2024,AB-1886,City of Cloverdale,0,0
Clarke,2023-2024,AB-1886,City of Corona,0,0
Clarke,2023-2024,AB-1886,City of Eastvale,0,0
Clarke,2023-2024,AB-1886,City of Elk Grove,0,0
Clarke,2023-2024,AB-1886,City of Fairfield,0,0
Clarke,2023-2024,AB-1886,City of Fullerton,0,0
Clarke,2023-2024,AB-1886,City of Grass Valley,0,0
Clarke,2023-2024,AB-1886,City of Huntington Beach,0,0
Clarke,2023-2024,AB-1886,City of Lake Forest,0,0
Clarke,2023-2024,AB-1886,City of Lakeport,0,0
Clarke,2023-2024,AB-1886,City of Madera,0,0
Clarke,2023-2024,AB-1886,City of Manhattan Beach,0,0
Clarke,2023-2024,AB-1886,City of Norwalk,0,0
Clarke,2023-2024,AB-1886,City of Oakdale,0,0
Clarke,2023-2024,AB-1886,City of Palm Desert,0,0
Clarke,2023-2024,AB-1886,City of Piedmont,0,0
Clarke,2023-2024,AB-1886,City of Rancho Cucamonga,0,0
Clarke,2023-2024,AB-1886,City of Rancho Palos Verdes,0,0
Clarke,2023-2024,AB-1886,City of Rancho Santa Margarita,0,0
Clarke,2023-2024,AB-1886,City of San Luis Obispo,0,0
Clarke,2023-2024,AB-1886,City of Santa Clarita,0,0
Clarke,2023-2024,AB-1886,City of Santa Paula,0,0
Clarke,2023-2024,AB-1886,City of Solana Beach,0,0
Clarke,2023-2024,AB-1886,City of Torrance,0,0
Clarke,2023-2024,AB-1886,City of Visalia,0,0
Clarke,2023-2024,AB-1886,City of Walnut Creek,0,0
Clarke,2023-2024,AB-1886,City of Yorba Linda,0,0
Clarke,2023-2024,AB-1886,CivicWell,3,0
Clarke,2023-2024,AB-1886,East Bay Leadership Council,3,0
Clarke,2023-2024,AB-1886,East Bay YIMBY,3,0
Clarke,2023-2024,AB-1886,"Fieldstead and Company, INC.",3,0
Clarke,2023-2024,AB-1886,Grow the Richmond,3,0
Clarke,2023-2024,AB-1886,Housing Action Coalition,3,0
Clarke,2023-2024,AB-1886,Housing California,3,0
Clarke,2023-2024,AB-1886,Housing Trust Silicon Valley,3,0
Clarke,2023-2024,AB-1886,How to ADU,3,0
Clarke,2023-2024,AB-1886,LeadingAge California,3,0
Clarke,2023-2024,AB-1886,League of California Cities,0,0
Clarke,2023-2024,AB-1886,Livable California,0,0
Clarke,2023-2024,AB-1886,"Los Angeles County Division, League of California Cities",0,0
Clarke,2023-2024,AB-1886,Marin County Council of Mayors and Council Members,0,0
Clarke,2023-2024,AB-1886,Mountain View YIMBY,3,0
Clarke,2023-2024,AB-1886,Napa-Solano for Everyone,3,0
Clarke,2023-2024,AB-1886,Northern Neighbors,3,0
Clarke,2023-2024,AB-1886,Peninsula for Everyone,3,0
Clarke,2023-2024,AB-1886,People for Housing Orange County,3,0
Clarke,2023-2024,AB-1886,Progress Noe Valley,3,0
Clarke,2023-2024,AB-1886,Public Interest Law Project,3,0
Clarke,2023-2024,AB-1886,Rural County Representatives of California,0,0
Clarke,2023-2024,AB-1886,San Diego Housing Federation,3,0
Clarke,2023-2024,AB-1886,San Diego Regional Chamber of Commerce,3,0
Clarke,2023-2024,AB-1886,San Francisco YIMBY,3,0
Clarke,2023-2024,AB-1886,SLO County YIMBY,3,0
Clarke,2023-2024,AB-1886,Santa Cruz YIMBY,3,0
Clarke,2023-2024,AB-1886,Santa Rosa YIMBY,3,0
Clarke,2023-2024,AB-1886,Save Lafayette,0,0
Clarke,2023-2024,AB-1886,South Bay YIMBY,3,0
Clarke,2023-2024,AB-1886,Southside Forward,3,0
Clarke,2023-2024,AB-1886,SPUR,3,1
Clarke,2023-2024,AB-1886,Streets for People,3,0
Clarke,2023-2024,AB-1886,Town of Danville,0,0
Clarke,2023-2024,AB-1886,"Tri-Valley Cities of Dublin, Livermore, Pleasanton, San Ramon",0,0
Clarke,2023-2024,AB-1886,Urban Environmentalists,3,0
Clarke,2023-2024,AB-1886,Ventura County YIMBY,3,0
Clarke,2023-2024,AB-1886,YIMBY Action,3,0
Clarke,2023-2024,AB-2291,"Golden State Manufactured Home Owners League, INC.",0,0
Clarke,2023-2024,AB-2291,Western Manufactured Housing Communities Association,3,0
Clarke,2023-2024,AB-2507,30years After,3,0
Clarke,2023-2024,AB-2507,Alan & Annette Leve Family Foundation,3,0
Clarke,2023-2024,AB-2507,American Jewish Committee - Los Angeles,3,0
Clarke,2023-2024,AB-2507,City of West Hollywood,3,0
Clarke,2023-2024,AB-2507,Democrats for Israel - CA,3,0
Clarke,2023-2024,AB-2507,Democrats for Israel Los Angeles,3,0
Clarke,2023-2024,AB-2507,Esusu Financial,3,0
Clarke,2023-2024,AB-2507,ETTA,3,0
Clarke,2023-2024,AB-2507,Hadassah,3,0
Clarke,2023-2024,AB-2507,Hillel at UCLA,3,0
Clarke,2023-2024,AB-2507,Hillel of San Diego,3,0
Clarke,2023-2024,AB-2507,Jewish Big Brothers Big Sisters of Los Angeles,3,0
Clarke,2023-2024,AB-2507,Jewish Center for Justice,3,0
Clarke,2023-2024,AB-2507,Jewish Community Federation and Endowment Fund,3,0
Clarke,2023-2024,AB-2507,Jewish Community Relations Council of Santa Barbara,3,0
Clarke,2023-2024,AB-2507,Jewish Democratic Club of Marin,3,0
Clarke,2023-2024,AB-2507,Jewish Democratic Club of Solano County,3,0
Clarke,2023-2024,AB-2507,Jewish Democratic Coalition of The Bay Area,3,0
Clarke,2023-2024,AB-2507,Jewish Democrats of San Diego County,3,0
Clarke,2023-2024,AB-2507,Jewish Family & Community Services East Bay,3,0
Clarke,2023-2024,AB-2507,Jewish Family and Children's Service of Long Beach and Orange County,3,0
Clarke,2023-2024,AB-2507,"Jewish Family and Children's Services of San Francisco, the Peninsula, Marin and Sonoma Counties",3,0
Clarke,2023-2024,AB-2507,Jewish Family Service of Los Angeles,3,0
Clarke,2023-2024,AB-2507,Jewish Family Service of San Diego,3,0
Clarke,2023-2024,AB-2507,Jewish Family Services of Silicon Valley,3,0
Clarke,2023-2024,AB-2507,Jewish Federation of Greater Los Angeles,3,0
Clarke,2023-2024,AB-2507,Jewish Federation of Greater Santa Barbara,3,0
Clarke,2023-2024,AB-2507,Jewish Federation of The Greater San Gabriel and Pomona Valleys,3,0
Clarke,2023-2024,AB-2507,Jewish Federation of the Sacramento Region,3,0
Clarke,2023-2024,AB-2507,Jewish Free Loan Association,3,1
Clarke,2023-2024,AB-2507,Jewish Long Beach,3,0
Clarke,2023-2024,AB-2507,Jewish Public Affairs Committee,3,0
Clarke,2023-2024,AB-2507,Jewish Silicon Valley,3,0
Clarke,2023-2024,AB-2507,Jigsaw Analytics Group,3,0
Clarke,2023-2024,AB-2507,Justice Design Group,3,0
Clarke,2023-2024,AB-2507,JVS SoCal,3,0
Clarke,2023-2024,AB-2507,Power CA Action,3,0
Clarke,2023-2024,AB-2507,Progressive Zionists of California,3,0
Clarke,2023-2024,AB-2507,Raoul Wallenberg Jewish Democratic Club,3,0
Clarke,2023-2024,AB-309,Abundant Housing LA,3,0
Clarke,2023-2024,AB-309,Active San Gabriel Valley,3,0
Clarke,2023-2024,AB-309,AFSCME,3,0
Clarke,2023-2024,AB-309,AIDS Healthcare Foundation,3,0
Clarke,2023-2024,AB-309,Alameda County Democratic Central Committee,3,0
Clarke,2023-2024,AB-309,California Apartment Association,3,0
Clarke,2023-2024,AB-309,California Association of Realtors,0,0
Clarke,2023-2024,AB-309,California Democratic Party,3,0
Clarke,2023-2024,AB-309,"California Labor Federation, AFL-CIO",3,0
Clarke,2023-2024,AB-309,California Nurses Association,3,0
Clarke,2023-2024,AB-309,California School Employees Association,3,0
Clarke,2023-2024,AB-309,Catalysts for Local Control,0,0
Clarke,2023-2024,AB-309,City of Bellflower,0,0
Clarke,2023-2024,AB-309,City of Berkeley,3,0
Clarke,2023-2024,AB-309,City of Camarillo,0,0
Clarke,2023-2024,AB-309,City of Chino Hills,0,0
Clarke,2023-2024,AB-309,City of Corona,0,0
Clarke,2023-2024,AB-309,City of Eastvale,0,0
Clarke,2023-2024,AB-309,City of Foster City,0,0
Clarke,2023-2024,AB-309,City of La Verne,0,0
Clarke,2023-2024,AB-309,City of Lakeport,0,0
Clarke,2023-2024,AB-309,City of Menifee,0,0
Clarke,2023-2024,AB-309,City of Montclair,0,0
Clarke,2023-2024,AB-309,City of Norwalk,0,0
Clarke,2023-2024,AB-309,City of Rancho Palos Verdes,0,0
Clarke,2023-2024,AB-309,City of Redding,0,0
Clarke,2023-2024,AB-309,City of Thousand Oaks,0,0
Clarke,2023-2024,AB-309,City of Visalia,0,0
Clarke,2023-2024,AB-309,City of Whittier,0,0
Clarke,2023-2024,AB-309,Common Ground California,3,0
Clarke,2023-2024,AB-309,Culver City Democratic Club,3,0
Clarke,2023-2024,AB-309,Culver City for More Homes,3,0
Clarke,2023-2024,AB-309,Davis College Democrats,3,0
Clarke,2023-2024,AB-309,East Bay for Everyone ,3,1
Clarke,2023-2024,AB-309,East Bay YIMBY,3,0
Clarke,2023-2024,AB-309,"Fieldstead and Company, INC.",0,0
Clarke,2023-2024,AB-309,First 5 Alameda County,3,0
Clarke,2023-2024,AB-309,Greenbelt Alliance,3,0
Clarke,2023-2024,AB-309,Grow the Richmond,3,0
Clarke,2023-2024,AB-309,How to ADU,3,0
Clarke,2023-2024,AB-309,Indivisible CA State Strong,3,0
Clarke,2023-2024,AB-309,Indivisible YOLO,3,0
Clarke,2023-2024,AB-309,League of California Cities,0,0
Clarke,2023-2024,AB-309,Livable California,0,0
Clarke,2023-2024,AB-309,Livable Communities Initiative,3,0
Clarke,2023-2024,AB-309,Mission Street Neighbors,0,0
Clarke,2023-2024,AB-309,Mountain View YIMBY,3,0
Clarke,2023-2024,AB-309,Napa-Solano for Everyone,3,0
Clarke,2023-2024,AB-309,Northern Neighbors,3,0
Clarke,2023-2024,AB-309,Pallet Shelter,3,0
Clarke,2023-2024,AB-309,Peninsula for Everyone,3,0
Clarke,2023-2024,AB-309,Peninsula Interfaith Climate Action,3,0
Clarke,2023-2024,AB-309,People for Housing Orange County,3,0
Clarke,2023-2024,AB-309,Place Initiative,3,0
Clarke,2023-2024,AB-309,Progress Noe Valley,3,0
Clarke,2023-2024,AB-309,San Francisco YIMBY,3,0
Clarke,2023-2024,AB-309,Santa Clara Valley Water District,3,0
Clarke,2023-2024,AB-309,Santa Cruz YIMBY,3,0
Clarke,2023-2024,AB-309,Santa Monica Democratic Club,3,0
Clarke,2023-2024,AB-309,Santa Rosa YIMBY,3,0
Clarke,2023-2024,AB-309,SLO County YIMBY,3,0
Clarke,2023-2024,AB-309,South Bay YIMBY,3,0
Clarke,2023-2024,AB-309,South Pasadena Residents for Responsible Growth,3,0
Clarke,2023-2024,AB-309,South Side Forward,3,0
Clarke,2023-2024,AB-309,Streets for People,3,0
Clarke,2023-2024,AB-309,Tenderloin Housing Clinic,3,0
Clarke,2023-2024,AB-309,United Neighbors San Dimas,0,0
Clarke,2023-2024,AB-309,Urban Environmentalists,3,0
Clarke,2023-2024,AB-309,Urban Environmentalists,3,0
Clarke,2023-2024,AB-309,Ventura County YIMBY,3,0
Clarke,2023-2024,AB-309,Vizcaya Homeowners Association,0,0
Clarke,2023-2024,AB-309,Walnut Creek Association of Homeowners Associations,3,0
Clarke,2023-2024,AB-309,YIMBY Action,3,0
Clarke,2023-2024,AB-578,California Coalition for Rural Housing,3,1
Clarke,2023-2024,AB-578,California Housing Consortium,3,0
Clarke,2023-2024,AB-578,California Housing Partnership ,3,1
Clarke,2023-2024,AB-578,California State Association of Counties,3,0
Clarke,2023-2024,AB-578,City of Thousand Oaks,3,0
Clarke,2023-2024,AB-578,EAH Housing,3,0
Clarke,2023-2024,AB-578,Eden Housing,3,0
Clarke,2023-2024,AB-578,LeadingAge California,3,0
Clarke,2023-2024,AB-578,Livable California,3,0
Clarke,2023-2024,AB-578,MidPen Housing Corporation,3,0
Clarke,2023-2024,AB-799,ACLU California Action,3,0
Clarke,2023-2024,AB-799,California Apartment Association,3,0
Clarke,2023-2024,AB-799,Corporation for Supportive Housing,3,0
Clarke,2023-2024,AB-799,Housing California,3,0
Clarke,2023-2024,AB-799,National Alliance to End Homelessness,3,0
Clarke,2023-2024,AB-799,The People Concern,3,0
Clarke,2023-2024,AJR-3,California Housing Partnership ,0,0
Clarke,2023-2024,AJR-3,California State Treasurer,3,1
Clarke,2023-2024,SB-1045,California Compost Coalition,3,1
Clarke,2023-2024,SB-1045,California Council for Environmental & Economic Balance,3,0
Clarke,2023-2024,SB-1045,California State Grange,3,0
Clarke,2023-2024,SB-1045,Californians Against Waste,3,0
Clarke,2023-2024,SB-1045,League of California Cities,3,0
Clarke,2023-2024,SB-1045,Little Hoover Commission,3,0
Clarke,2023-2024,SB-1045,"Rancho Cucamonga, City of Recology",3,0
Clarke,2023-2024,SB-1045,Republic Services INC.,3,0
Clarke,2023-2024,SB-1045,Resource Recovery Coalition of California,3,0
Clarke,2023-2024,SB-1045,Rural County Representatives of California,3,0
Clarke,2023-2024,SB-1045,Upper Valley Disposal Recycling,3,0
Clarke,2023-2024,SB-1045,"Waste Connections, INC.",3,0
Clarke,2023-2024,SB-1045,WM,3,0
Clarke,2023-2024,SB-1211,Abodu,3,0
Clarke,2023-2024,SB-1211,Abundant Housing LA,3,0
Clarke,2023-2024,SB-1211,ADU Geeks,3,0
Clarke,2023-2024,SB-1211,ADU Homes,3,0
Clarke,2023-2024,SB-1211,AvalonBay,3,0
Clarke,2023-2024,SB-1211,Bay Area Council,3,0
Clarke,2023-2024,SB-1211,Bequall,3,0
Clarke,2023-2024,SB-1211,California Apartment Association,3,0
Clarke,2023-2024,SB-1211,California Building Industry Association ,3,0
Clarke,2023-2024,SB-1211,California Cities for Local Control,0,0
Clarke,2023-2024,SB-1211,California Community Builders,3,0
Clarke,2023-2024,SB-1211,California YIMBY,3,1
Clarke,2023-2024,SB-1211,Casita Coalition ,3,1
Clarke,2023-2024,SB-1211,Catalysts for Local Control,0,0
Clarke,2023-2024,SB-1211,City of Thousand Oaks,0,0
Clarke,2023-2024,SB-1211,"CoreSGB, LLC",3,0
Clarke,2023-2024,SB-1211,Cottage Technologies,3,0
Clarke,2023-2024,SB-1211,Crest Backyard Homes,3,0
Clarke,2023-2024,SB-1211,Dirt to Keys,3,0
Clarke,2023-2024,SB-1211,East Bay for Everyone,3,0
Clarke,2023-2024,SB-1211,East Bay Leadership Council,3,0
Clarke,2023-2024,SB-1211,East Bay YIMBY,3,0
Clarke,2023-2024,SB-1211,Eden Housing,3,0
Clarke,2023-2024,SB-1211,Grow the Richmond,3,0
Clarke,2023-2024,SB-1211,HelloADU,3,0
Clarke,2023-2024,SB-1211,Housing Action Coalition,3,0
Clarke,2023-2024,SB-1211,Housing Trust Silicon Valley,3,0
Clarke,2023-2024,SB-1211,How to ADU,3,0
Clarke,2023-2024,SB-1211,MidPen Housing Corporation,3,0
Clarke,2023-2024,SB-1211,Mountain View YIMBY,3,0
Clarke,2023-2024,SB-1211,Napa-Solano for Everyone,3,0
Clarke,2023-2024,SB-1211,Northern Neighbors,3,0
Clarke,2023-2024,SB-1211,Peninsula for Everyone,3,0
Clarke,2023-2024,SB-1211,People for Housing Orange County,3,0
Clarke,2023-2024,SB-1211,Progress Noe Valley,3,0
Clarke,2023-2024,SB-1211,San Francisco YIMBY,3,0
Clarke,2023-2024,SB-1211,SLO County YIMBY,3,0
Clarke,2023-2024,SB-1211,Santa Cruz YIMBY,3,0
Clarke,2023-2024,SB-1211,Santa Rosa YIMBY,3,0
Clarke,2023-2024,SB-1211,Save Lafayette,0,0
Clarke,2023-2024,SB-1211,SnapADU,3,0
Clarke,2023-2024,SB-1211,Solano for Everyone,3,0
Clarke,2023-2024,SB-1211,South Bay YIMBY,3,0
Clarke,2023-2024,SB-1211,Southside Forward,3,0
Clarke,2023-2024,SB-1211,SPUR,3,0
Clarke,2023-2024,SB-1211,Streets for People,3,0
Clarke,2023-2024,SB-1211,Studio KDA,3,0
Clarke,2023-2024,SB-1211,Sunnyvale United Neighbors,0,0
Clarke,2023-2024,SB-1211,TentMakers Inc.,3,0
Clarke,2023-2024,SB-1211,The Two Hundred Homeownership,3,0
Clarke,2023-2024,SB-1211,Urban Environmentalists,3,0
Clarke,2023-2024,SB-1211,Ventura County YIMBY,3,0
Clarke,2023-2024,SB-1211,Villa Homes,3,0
Clarke,2023-2024,SB-1211,YIMBY Action,3,0
Clarke,2023-2024,SB-440,AMCAL,3,0
Clarke,2023-2024,SB-440,California Association of Local Housing Finance Agencies,3,0
Clarke,2023-2024,SB-440,California Housing Consortium ,3,1
Clarke,2023-2024,SB-440,California Housing Partnership,3,0
Clarke,2023-2024,SB-440,California Taxpayers Association,0,0
Clarke,2023-2024,SB-440,CivicWell,3,0
Clarke,2023-2024,SB-440,East Bay YIMBY,3,0
Clarke,2023-2024,SB-440,Eden Housing,3,0
Clarke,2023-2024,SB-440,"Fieldstead and Company, INC.",0,0
Clarke,2023-2024,SB-440,Grow the Richmond,3,0
Clarke,2023-2024,SB-440,Housing Santa Cruz County,3,0
Clarke,2023-2024,SB-440,How to ADU,3,0
Clarke,2023-2024,SB-440,John Burton Advocates for Youth,3,0
Clarke,2023-2024,SB-440,Mountain View YIMBY,3,0
Clarke,2023-2024,SB-440,Napa-Solano for Everyone,3,0
Clarke,2023-2024,SB-440,Non-Profit Housing Association of Northern California ,3,0
Clarke,2023-2024,SB-440,Northern Neighbors,3,0
Clarke,2023-2024,SB-440,Peninsula for Everyone,3,0
Clarke,2023-2024,SB-440,People for Housing Orange County,3,0
Clarke,2023-2024,SB-440,Progress Noe Valley,3,0
Clarke,2023-2024,SB-440,San Francisco YIMBY,3,0
Clarke,2023-2024,SB-440,SLO County YIMBY,3,0
Clarke,2023-2024,SB-440,Santa Cruz YIMBY,3,0
Clarke,2023-2024,SB-440,Santa Rosa YIMBY,3,0
Clarke,2023-2024,SB-440,Sierra Business Council,3,0
Clarke,2023-2024,SB-440,South Bay YIMBY,3,0
Clarke,2023-2024,SB-440,Southside Forward,3,0
Clarke,2023-2024,SB-440,The Pacific Companies,3,0
Clarke,2023-2024,SB-440,Ventura County YIMBY,3,0
Clarke,2023-2024,SB-440,YIMBY Action,3,0
Clarke,2023-2024,SB-547,The City of Del Mar,3,0
Clarke,2023-2024,SB-547,Western Fairs Association,0,0
Clarke,2023-2024,SB-91,California Apartment Association,3,0
Clarke,2023-2024,SB-91,California State Association of Counties,3,0
Clarke,2023-2024,SB-91,City and County of San Francisco,3,0
Clarke,2023-2024,SB-91,City of Long Beach,3,0
Clarke,2023-2024,SB-91,City of Santa Monica,3,0
Clarke,2023-2024,SB-91,City of Visalia,3,0
Clarke,2023-2024,SB-91,County of Santa Clara,3,0
Clarke,2023-2024,SB-91,EAH Housing,3,0
Clarke,2023-2024,SB-91,"London Breed, Mayor of San Francisco",3,0
Clarke,2023-2024,SB-91,Mission Street Neighbors,3,0
Clarke,2023-2024,SB-91,New Livable California Dba Livable California,3,0
Clarke,2023-2024,SB-91,Rural County Representatives of California,3,0
Clarke,2023-2024,SB-91,San Bernardino County,3,0
Clarke,2023-2024,SB-91,San Gabriel Valley Council of Governments,3,0
Clarke,2023-2024,SB-91,Southern California Rental Housing Association,3,0
Clarke,2023-2024,SB-91,Urban Counties of California,3,0
Dick,2023-2024,AB-1033,Abodu,3,0
Dick,2023-2024,AB-1033,Bay Area Council ,3,1
Dick,2023-2024,AB-1033,Bequall,3,0
Dick,2023-2024,AB-1033,California Association of Realtors,0,0
Dick,2023-2024,AB-1033,California Black Chamber of Commerce,3,0
Dick,2023-2024,AB-1033,California Community Builders,3,0
Dick,2023-2024,AB-1033,California State Association of Counties,3,0
Dick,2023-2024,AB-1033,Casita Coalition ,3,1
Dick,2023-2024,AB-1033,City of Eastvale,0,0
Dick,2023-2024,AB-1033,City of San Jose,3,0
Dick,2023-2024,AB-1033,Community Associations Institute - California Legislative Action Committee,0,0
Dick,2023-2024,AB-1033,"Community Build, Inc.",3,0
Dick,2023-2024,AB-1033,"CoreSGB, LLC",3,0
Dick,2023-2024,AB-1033,Council of Infill Builders,3,0
Dick,2023-2024,AB-1033,Decor Revolution,3,0
Dick,2023-2024,AB-1033,East Bay for Everyone,3,0
Dick,2023-2024,AB-1033,East Bay YIMBY,3,0
Dick,2023-2024,AB-1033,"Facebook, Inc.",3,0
Dick,2023-2024,AB-1033,Farmworkers Institute of Education and Leadership Development,3,0
Dick,2023-2024,AB-1033,Grow the Richmond,3,0
Dick,2023-2024,AB-1033,Ho9 Development,3,0
Dick,2023-2024,AB-1033,How to ADU,3,0
Dick,2023-2024,AB-1033,HPP Cares,3,0
Dick,2023-2024,AB-1033,Inland SoCal Housing Collective,3,0
Dick,2023-2024,AB-1033,Inspired ADUs,3,0
Dick,2023-2024,AB-1033,Jesse Miranda Center for Hispanic Leadership,3,0
Dick,2023-2024,AB-1033,League of California Cities Latino Caucus,3,0
Dick,2023-2024,AB-1033,LISC San Diego,3,0
Dick,2023-2024,AB-1033,Mayor of City & County of San Francisco London Breed,3,0
Dick,2023-2024,AB-1033,Mayor of City of Oakland Sheng Thao,3,0
Dick,2023-2024,AB-1033,Meta,3,0
Dick,2023-2024,AB-1033,Mountain View YIMBY,3,0
Dick,2023-2024,AB-1033,Napa-Solano for Everyone,3,0
Dick,2023-2024,AB-1033,National Association of Hispanic Realtors,3,0
Dick,2023-2024,AB-1033,National Diversity Coalition,3,0
Dick,2023-2024,AB-1033,New California Coalition,3,0
Dick,2023-2024,AB-1033,Northern Neighbors SF,3,0
Dick,2023-2024,AB-1033,Oak Impact Group,3,0
Dick,2023-2024,AB-1033,One individual,3,0
Dick,2023-2024,AB-1033,Peninsula for Everyone,3,0
Dick,2023-2024,AB-1033,People for Housing - Orange County,3,0
Dick,2023-2024,AB-1033,Plus Home Construction,3,0
Dick,2023-2024,AB-1033,Progress Noe Valley,3,0
Dick,2023-2024,AB-1033,Rebuilding Green,3,0
Dick,2023-2024,AB-1033,Samara Living,3,0
Dick,2023-2024,AB-1033,San Francisco Bay Area Planning and Urban Research Association,3,0
Dick,2023-2024,AB-1033,San Francisco YIMBY,3,0
Dick,2023-2024,AB-1033,SLO County YIMBY,3,0
Dick,2023-2024,AB-1033,Santa Cruz YIMBY,3,0
Dick,2023-2024,AB-1033,Santa Rosa YIMBY,3,0
Dick,2023-2024,AB-1033,South Bay YIMBY,3,0
Dick,2023-2024,AB-1033,Southside Forward,3,0
Dick,2023-2024,AB-1033,The Two Hundred,3,0
Dick,2023-2024,AB-1033,The Unity Council,3,0
Dick,2023-2024,AB-1033,Unidosus,3,0
Dick,2023-2024,AB-1033,Ventura County YIMBY,3,0
Dick,2023-2024,AB-1033,Villa,3,0
Dick,2023-2024,AB-1033,YIMBY Action,3,0
Dick,2023-2024,AB-1319,All Home,3,0
Dick,2023-2024,AB-1319,Alta Housing,3,0
Dick,2023-2024,AB-1319,Association of Bay Area Governments,3,1
Dick,2023-2024,AB-1319,Bay Area Local Initiatives Support Corporation,3,0
Dick,2023-2024,AB-1319,Burbank Housing,3,0
Dick,2023-2024,AB-1319,California Housing Partnership,3,0
Dick,2023-2024,AB-1319,City of Half Moon Bay,3,0
Dick,2023-2024,AB-1319,City of San Jose,3,0
Dick,2023-2024,AB-1319,Community Land Trust Association of West Marin,3,0
Dick,2023-2024,AB-1319,Destination: Home,3,0
Dick,2023-2024,AB-1319,East Bay Housing Organizations,3,0
Dick,2023-2024,AB-1319,East Bay YIMBY,3,0
Dick,2023-2024,AB-1319,Eden Housing,3,0
Dick,2023-2024,AB-1319,"Enterprise Community Partners, Inc.",3,0
Dick,2023-2024,AB-1319,EPACANDO,3,0
Dick,2023-2024,AB-1319,"Facebook, Inc.",3,0
Dick,2023-2024,AB-1319,Generation Housing,3,0
Dick,2023-2024,AB-1319,Greenbelt Alliance,3,0
Dick,2023-2024,AB-1319,Grow the Richmond,3,0
Dick,2023-2024,AB-1319,"Housing Choices Coalition for Persons with Developmental Disabilities, Inc.",3,0
Dick,2023-2024,AB-1319,Housing Leadership Council of San Mateo County,3,0
Dick,2023-2024,AB-1319,Housing Trust Silicon Valley,3,0
Dick,2023-2024,AB-1319,Lanterman Housing Alliance,3,0
Dick,2023-2024,AB-1319,League of Women Voters of California,3,0
Dick,2023-2024,AB-1319,Livable California,3,0
Dick,2023-2024,AB-1319,Menlo Together,3,0
Dick,2023-2024,AB-1319,Metropolitan Transportation Commission,3,1
Dick,2023-2024,AB-1319,MidPen Housing Corporation,3,0
Dick,2023-2024,AB-1319,Mission Street Neighbors,3,0
Dick,2023-2024,AB-1319,Monument Impact,3,0
Dick,2023-2024,AB-1319,Mountain View YIMBY,3,0
Dick,2023-2024,AB-1319,Napa-Solano for Everyone,3,0
Dick,2023-2024,AB-1319,Non-Profit Housing Association of Northern California,3,0
Dick,2023-2024,AB-1319,Northern Neighbors,3,0
Dick,2023-2024,AB-1319,Peninsula for Everyone,3,0
Dick,2023-2024,AB-1319,Progress Noe Valley,3,0
Dick,2023-2024,AB-1319,Public Advocates,3,0
Dick,2023-2024,AB-1319,Resources for Community Development,3,0
Dick,2023-2024,AB-1319,Sacred Heart Community Service,3,0
Dick,2023-2024,AB-1319,San Francisco Foundation,3,0
Dick,2023-2024,AB-1319,San Francisco YIMBY,3,0
Dick,2023-2024,AB-1319,Santa Rosa YIMBY,3,0
Dick,2023-2024,AB-1319,Save the Bay,3,0
Dick,2023-2024,AB-1319,Silicon Valley Community Foundation,3,0
Dick,2023-2024,AB-1319,Social Action Ministry,3,0
Dick,2023-2024,AB-1319,Southside Forward,3,0
Dick,2023-2024,AB-1319,SPUR,3,0
Dick,2023-2024,AB-1319,SV@Home,3,0
